Date	,MCC_Code,Amount	,Transaction Type	,Bank Name	,Account Number	,Currency	
25-07-2025,5912,649.58,Credit,Alinma,FR62 9854 2848 706F KLLP HJJ0 309,SAR
17-05-2025,5814,504.8,Credit,Alinma,IS71 7745 9697 8172 5175 9818 51,SAR
22-05-2025,4814,512.54,Debit,Alinma,VG24 FDZK 9821 2204 4112 8842,SAR
13-07-2025,4814,836.22,Debit,Alinma,SI11 4921 5534 5370 384,SAR
09-06-2025,7832,901.58,Debit,Alinma,DE20 9754 7579 0329 6217 04,SAR
11-01-2025,5732,725.52,Credit,Alinma,AL58 2894 8590 OOFJ PATH V7GF MSNY,SAR
08-06-2025,6011,895.93,Credit,Alinma,SK22 2808 6279 6618 3377 7770,SAR
27-04-2025,7832,56.76,Credit,Alinma,BA71 6865 4785 3153 6513,SAR
14-03-2025,4111,861.71,Credit,Alinma,LT65 6134 5430 7777 9035,SAR
01-01-2025,5411,586.59,Credit,Alinma,FR49 6949 3678 76TT 7AMX 52TJ E43,SAR
19-02-2025,6011,135.57,Debit,Alinma,MU98 DNAN 0065 5122 2171 4426 180M YT,SAR
09-01-2025,5541,393.91,Credit,Alinma,FR55 3361 4185 63VN AI7N ROAP E74,SAR
03-04-2025,7011,837.83,Debit,Alinma,SM76 T967 5253 2407 QEQD DVHG QAU,SAR
27-04-2025,5541,129.0,Debit,Alinma,FR63 7563 5664 305Y 2H7D M0TM Q83,SAR
11-01-2025,5541,933.97,Credit,Alinma,GT63 RSTD NAUB ELNZ C7JD 3SDE OMHC,SAR
21-07-2025,7011,383.76,Credit,Alinma,CZ89 8217 6422 5893 0432 4044,SAR
27-02-2025,5541,148.11,Credit,Alinma,CY17 1094 8590 PGHQ 651J 82ZF WAPS,SAR
07-03-2025,4111,787.23,Credit,Alinma,FR57 6991 6153 366M IJYY LDJP X90,SAR
08-05-2025,4111,260.43,Credit,Alinma,MR43 7121 7767 0086 8050 8571 553,SAR
30-07-2025,7011,733.03,Debit,Alinma,IE52 SINW 8794 3667 5444 48,SAR
19-06-2025,5411,120.2,Credit,Alinma,AL41 6347 5051 NPKR ECOW FT9R MKUU,SAR
23-04-2025,5541,696.74,Debit,Alinma,FR93 1819 6864 52WG HGHY ABDM L53,SAR
30-06-2025,6011,761.93,Credit,Alinma,BH57 INCO U6R0 J2OG KWEJ HW,SAR
11-03-2025,5732,526.9,Credit,Alinma,NL76 ISUR 6821 9313 40,SAR
16-01-2025,5814,261.79,Credit,Alinma,LI50 8110 3D7O H65N LFDG G,SAR
02-02-2025,6011,712.98,Credit,Alinma,FR26 7569 7787 53F2 CR5I 5SZN D45,SAR
22-03-2025,5541,79.25,Debit,Alinma,IL63 7732 9853 0891 7908 773,SAR
06-03-2025,4111,465.38,Debit,Alinma,GR04 0838 489X OJQU V8KP 8XQQ DWY,SAR
15-03-2025,5732,420.19,Debit,Alinma,FR29 6292 9535 25G3 LUDF WESM Q25,SAR
12-02-2025,5411,318.5,Credit,Alinma,BA72 5140 6519 3581 3535,SAR
08-04-2025,5814,230.27,Debit,Alinma,CY82 3158 2714 0TSF MWR6 ZRMZ JAL2,SAR
02-05-2025,5411,924.49,Debit,Alinma,SM57 D537 2968 926H IG1V C9QA ESD,SAR
06-02-2025,7832,50.99,Credit,Alinma,PL63 1687 9527 8555 0263 6873 0283,SAR
